,tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical
275,2021-10-03,DKI5 (Kebon Jeruk) Jakarta Barat,55,82,35,8,28,12,82,PM25
276,2021-10-04,DKI5 (Kebon Jeruk) Jakarta Barat,53,80,30,7,31,10,80,PM25
277,2021-10-05,DKI5 (Kebon Jeruk) Jakarta Barat,52,79,30,10,35,16,79,PM25
278,2021-10-06,DKI5 (Kebon Jeruk) Jakarta Barat,52,74,28,6,28,14,74,PM25
279,2021-10-07,DKI5 (Kebon Jeruk) Jakarta Barat,50,71,7,8,25,17,71,PM25
280,2021-10-08,DKI5 (Kebon Jeruk) Jakarta Barat,53,81,30,7,32,16,81,PM25
281,2021-10-09,DKI5 (Kebon Jeruk) Jakarta Barat,53,74,27,7,43,12,74,PM25
282,2021-10-10,DKI5 (Kebon Jeruk) Jakarta Barat,55,80,30,8,46,11,80,PM25
283,2021-10-11,DKI5 (Kebon Jeruk) Jakarta Barat,59,88,33,9,39,11,88,PM25
284,2021-10-12,DKI5 (Kebon Jeruk) Jakarta Barat,57,81,30,12,31,23,81,PM25
285,2021-10-13,DKI5 (Kebon Jeruk) Jakarta Barat,47,69,31,7,30,13,69,PM25
286,2021-10-14,DKI5 (Kebon Jeruk) Jakarta Barat,58,91,37,10,35,14,91,PM25
287,2021-10-15,DKI5 (Kebon Jeruk) Jakarta Barat,70,107,39,11,39,16,107,PM25
288,2021-10-16,DKI5 (Kebon Jeruk) Jakarta Barat,68,112,39,14,32,17,112,PM25
289,2021-10-17,DKI5 (Kebon Jeruk) Jakarta Barat,62,100,27,11,48,10,100,PM25
290,2021-10-18,DKI5 (Kebon Jeruk) Jakarta Barat,52,73,29,11,19,15,73,PM25
291,2021-10-19,DKI5 (Kebon Jeruk) Jakarta Barat,50,81,32,16,13,35,81,PM25
292,2021-10-20,DKI5 (Kebon Jeruk) Jakarta Barat,42,68,33,11,22,23,68,PM25
293,2021-10-21,DKI5 (Kebon Jeruk) Jakarta Barat,42,70,38,7,34,14,70,PM25
294,2021-10-22,DKI5 (Kebon Jeruk) Jakarta Barat,60,95,33,15,24,26,95,PM25
295,2021-10-23,DKI5 (Kebon Jeruk) Jakarta Barat,52,80,35,10,29,16,80,PM25
296,2021-10-24,DKI5 (Kebon Jeruk) Jakarta Barat,60,93,32,12,35,14,93,PM25
297,2021-10-25,DKI5 (Kebon Jeruk) Jakarta Barat,64,101,28,13,36,14,101,PM25
298,2021-10-26,DKI5 (Kebon Jeruk) Jakarta Barat,58,92,38,16,29,24,92,PM25
299,2021-10-27,DKI5 (Kebon Jeruk) Jakarta Barat,53,76,39,11,32,17,76,PM25
300,2021-10-28,DKI5 (Kebon Jeruk) Jakarta Barat,51,77,32,16,29,27,77,PM25
301,2021-10-29,DKI5 (Kebon Jeruk) Jakarta Barat,50,70,35,18,23,33,70,PM25
302,2021-10-30,DKI5 (Kebon Jeruk) Jakarta Barat,50,74,31,12,30,24,74,PM25
303,2021-10-31,DKI5 (Kebon Jeruk) Jakarta Barat,49,74,31,10,31,13,74,PM25
304,2021-11-01,DKI5 (Kebon Jeruk) Jakarta Barat,59,91,31,17,22,27,91,PM25
305,2021-11-02,DKI5 (Kebon Jeruk) Jakarta Barat,51,72,32,14,13,22,72,PM25
306,2021-11-03,DKI5 (Kebon Jeruk) Jakarta Barat,44,69,34,12,21,24,69,PM25
307,2021-11-04,DKI5 (Kebon Jeruk) Jakarta Barat,57,87,31,13,31,22,87,PM25
308,2021-11-05,DKI5 (Kebon Jeruk) Jakarta Barat,57,87,32,23,16,38,87,PM25
309,2021-11-06,DKI5 (Kebon Jeruk) Jakarta Barat,57,81,35,11,24,20,81,PM25
310,2021-11-07,DKI5 (Kebon Jeruk) Jakarta Barat,35,59,30,6,22,8,59,PM25
311,2021-11-08,DKI5 (Kebon Jeruk) Jakarta Barat,35,61,30,20,13,41,61,PM25
312,2021-11-09,DKI5 (Kebon Jeruk) Jakarta Barat,57,86,28,16,19,30,86,PM25
313,2021-11-10,DKI5 (Kebon Jeruk) Jakarta Barat,40,65,7,8,17,18,65,PM25
314,2021-11-11,DKI5 (Kebon Jeruk) Jakarta Barat,42,62,19,8,10,32,62,PM25
315,2021-11-12,DKI5 (Kebon Jeruk) Jakarta Barat,37,57,24,5,15,15,57,PM25
316,2021-11-13,DKI5 (Kebon Jeruk) Jakarta Barat,46,75,13,14,29,40,75,PM25
317,2021-11-14,DKI5 (Kebon Jeruk) Jakarta Barat,50,63,17,12,19,34,63,PM25
318,2021-11-15,DKI5 (Kebon Jeruk) Jakarta Barat,19,39,15,3,14,10,39,PM25
319,2021-11-16,DKI5 (Kebon Jeruk) Jakarta Barat,26,49,15,3,13,10,49,PM25
320,2021-11-17,DKI5 (Kebon Jeruk) Jakarta Barat,52,77,19,10,14,35,77,PM25
321,2021-11-18,DKI5 (Kebon Jeruk) Jakarta Barat,52,74,24,10,20,35,74,PM25
322,2021-11-19,DKI5 (Kebon Jeruk) Jakarta Barat,23,34,13,2,15,7,34,PM25
323,2021-11-20,DKI5 (Kebon Jeruk) Jakarta Barat,28,50,17,4,16,17,50,PM25
324,2021-11-21,DKI5 (Kebon Jeruk) Jakarta Barat,46,62,15,17,14,44,62,PM25
325,2021-11-22,DKI5 (Kebon Jeruk) Jakarta Barat,22,38,15,3,14,10,38,PM25
326,2021-11-23,DKI5 (Kebon Jeruk) Jakarta Barat,15,34,15,2,13,6,34,PM25
327,2021-11-24,DKI5 (Kebon Jeruk) Jakarta Barat,22,43,13,3,13,8,43,PM25
328,2021-11-25,DKI5 (Kebon Jeruk) Jakarta Barat,43,67,19,6,14,16,67,PM25
329,2021-11-26,DKI5 (Kebon Jeruk) Jakarta Barat,32,59,16,7,15,20,59,PM25
330,2021-11-27,DKI5 (Kebon Jeruk) Jakarta Barat,22,36,13,7,18,22,36,PM25
331,2021-11-28,DKI5 (Kebon Jeruk) Jakarta Barat,18,26,12,2,16,8,26,PM25
332,2021-11-29,DKI5 (Kebon Jeruk) Jakarta Barat,15,34,13,3,13,9,34,PM25
333,2021-11-30,DKI5 (Kebon Jeruk) Jakarta Barat,23,52,15,4,21,10,52,PM25
334,2021-12-01,DKI5 (Kebon Jeruk) Jakarta Barat,50,71,18,8,19,18,71,PM25
335,2021-12-02,DKI5 (Kebon Jeruk) Jakarta Barat,22,42,14,2,19,5,42,PM25
336,2021-12-03,DKI5 (Kebon Jeruk) Jakarta Barat,30,54,16,3,18,9,54,PM25
337,2021-12-04,DKI5 (Kebon Jeruk) Jakarta Barat,34,54,27,5,14,15,54,PM25
338,2021-12-05,DKI5 (Kebon Jeruk) Jakarta Barat,51,71,30,12,12,29,71,PM25
339,2021-12-06,DKI5 (Kebon Jeruk) Jakarta Barat,61,85,36,23,18,57,85,PM25
340,2021-12-07,DKI5 (Kebon Jeruk) Jakarta Barat,25,44,22,5,15,21,44,PM25
341,2021-12-08,DKI5 (Kebon Jeruk) Jakarta Barat,44,66,17,13,23,30,66,PM25
342,2021-12-09,DKI5 (Kebon Jeruk) Jakarta Barat,30,50,20,5,31,15,50,PM25
343,2021-12-10,DKI5 (Kebon Jeruk) Jakarta Barat,48,63,32,8,28,30,63,PM25
344,2021-12-11,DKI5 (Kebon Jeruk) Jakarta Barat,32,54,21,5,31,15,54,PM25
345,2021-12-12,DKI5 (Kebon Jeruk) Jakarta Barat,39,60,16,13,20,34,60,PM25
346,2021-12-13,DKI5 (Kebon Jeruk) Jakarta Barat,22,45,20,3,16,14,45,PM25
347,2021-12-14,DKI5 (Kebon Jeruk) Jakarta Barat,36,56,33,3,21,21,56,PM25
348,2021-12-15,DKI5 (Kebon Jeruk) Jakarta Barat,51,67,32,5,31,28,67,PM25
349,2021-12-16,DKI5 (Kebon Jeruk) Jakarta Barat,56,82,23,11,34,36,82,PM25
350,2021-12-17,DKI5 (Kebon Jeruk) Jakarta Barat,52,73,26,8,28,35,73,PM25
351,2021-12-18,DKI5 (Kebon Jeruk) Jakarta Barat,45,63,18,8,22,32,63,PM25
352,2021-12-19,DKI5 (Kebon Jeruk) Jakarta Barat,54,84,19,18,35,45,84,PM25
353,2021-12-20,DKI5 (Kebon Jeruk) Jakarta Barat,48,65,20,6,22,16,65,PM25
354,2021-12-21,DKI5 (Kebon Jeruk) Jakarta Barat,47,73,20,15,31,49,73,PM25
355,2021-12-22,DKI5 (Kebon Jeruk) Jakarta Barat,62,90,19,24,29,65,90,PM25
356,2021-12-23,DKI5 (Kebon Jeruk) Jakarta Barat,59,88,24,16,23,44,88,PM25
357,2021-12-24,DKI5 (Kebon Jeruk) Jakarta Barat,32,59,25,9,19,52,59,PM25
358,2021-12-25,DKI5 (Kebon Jeruk) Jakarta Barat,55,81,34,17,15,62,81,PM25
359,2021-12-26,DKI5 (Kebon Jeruk) Jakarta Barat,32,57,27,9,20,34,57,PM25
360,2021-12-27,DKI5 (Kebon Jeruk) Jakarta Barat,54,76,36,14,21,47,76,PM25
361,2021-12-28,DKI5 (Kebon Jeruk) Jakarta Barat,44,68,20,11,21,33,68,PM25
362,2021-12-29,DKI5 (Kebon Jeruk) Jakarta Barat,34,54,28,8,25,29,54,PM25
363,2021-12-30,DKI5 (Kebon Jeruk) Jakarta Barat,53,75,25,15,23,44,75,PM25
364,2021-12-31,DKI5 (Kebon Jeruk) Jakarta Barat,60,87,28,19,30,53,87,PM25
