,tanggal,stasiun,pm10,pm25,so2,co,o3,no2,max,critical
0,2021-01-01,DKI4 (Lubang Buaya),41,76,37,14,35,4,41,PM10
1,2021-01-02,DKI4 (Lubang Buaya),44,76,38,38,59,3,59,CO
2,2021-01-03,DKI4 (Lubang Buaya),50,76,37,16,52,5,52,CO
3,2021-01-04,DKI4 (Lubang Buaya),45,76,36,16,24,3,45,PM10
4,2021-01-05,DKI4 (Lubang Buaya),52,76,36,15,35,8,52,PM10
5,2021-01-06,DKI4 (Lubang Buaya),73,76,32,29,66,6,73,PM10
6,2021-01-07,DKI4 (Lubang Buaya),36,76,30,19,55,5,55,CO
7,2021-01-08,DKI4 (Lubang Buaya),36,76,31,23,51,6,51,CO
8,2021-01-09,DKI4 (Lubang Buaya),60,76,30,34,42,6,60,PM10
9,2021-01-10,DKI4 (Lubang Buaya),14,76,28,9,38,3,38,CO
10,2021-01-11,DKI4 (Lubang Buaya),51,76,29,17,57,4,57,CO
11,2021-01-12,DKI4 (Lubang Buaya),23,76,28,11,44,4,44,CO
12,2021-01-13,DKI4 (Lubang Buaya),36,76,27,8,32,3,36,PM10
13,2021-01-14,DKI4 (Lubang Buaya),35,76,28,13,38,5,38,CO
14,2021-01-15,DKI4 (Lubang Buaya),51,76,26,20,56,5,56,CO
15,2021-01-16,DKI4 (Lubang Buaya),47,76,27,18,38,7,47,PM10
16,2021-01-17,DKI4 (Lubang Buaya),52,76,28,12,41,8,52,PM10
17,2021-01-18,DKI4 (Lubang Buaya),34,76,28,10,37,4,37,CO
18,2021-01-19,DKI4 (Lubang Buaya),25,76,26,12,31,7,31,CO
19,2021-01-20,DKI4 (Lubang Buaya),54,76,25,16,33,8,54,PM10
20,2021-01-21,DKI4 (Lubang Buaya),63,76,25,21,38,7,63,PM10
21,2021-01-22,DKI4 (Lubang Buaya),52,76,26,32,54,8,54,CO
22,2021-01-23,DKI4 (Lubang Buaya),89,76,27,47,61,11,89,PM10
23,2021-01-24,DKI4 (Lubang Buaya),48,76,48,11,48,48,0, 
24,2021-01-25,DKI4 (Lubang Buaya),48,76,48,11,48,48,0, 
25,2021-01-26,DKI4 (Lubang Buaya),57,76,26,34,39,7,57,PM10
26,2021-01-27,DKI4 (Lubang Buaya),18,76,25,7,19,4,25,PM25
27,2021-01-28,DKI4 (Lubang Buaya),23,76,25,11,20,5,25,PM25
28,2021-01-29,DKI4 (Lubang Buaya),27,76,26,9,36,4,36,CO
29,2021-01-30,DKI4 (Lubang Buaya),21,76,26,16,32,6,32,CO
30,2021-01-31,DKI4 (Lubang Buaya),48,76,48,17,48,48,17,SO2
31,2021-02-01,DKI4 (Lubang Buaya),48,48,48,11,48,48,0, 
32,2021-02-02,DKI4 (Lubang Buaya),37,59,40,14,22,12,59,PM25
33,2021-02-03,DKI4 (Lubang Buaya),24,52,40,9,21,8,52,PM25
34,2021-02-04,DKI4 (Lubang Buaya),19,53,40,12,19,10,53,PM25
35,2021-02-05,DKI4 (Lubang Buaya),19,41,40,12,20,9,41,PM25
36,2021-02-06,DKI4 (Lubang Buaya),18,48,40,7,28,6,48,PM25
37,2021-02-07,DKI4 (Lubang Buaya),25,55,40,10,22,11,55,PM25
38,2021-02-08,DKI4 (Lubang Buaya),17,44,39,10,21,9,44,PM25
39,2021-02-09,DKI4 (Lubang Buaya),31,57,40,13,19,9,57,PM25
40,2021-02-10,DKI4 (Lubang Buaya),30,58,40,13,20,8,58,PM25
41,2021-02-11,DKI4 (Lubang Buaya),21,50,40,7,16,5,50,PM25
42,2021-02-12,DKI4 (Lubang Buaya),33,65,40,12,19,5,65,PM25
43,2021-02-13,DKI4 (Lubang Buaya),43,62,40,11,25,9,62,PM25
